! time (days)      u            v          prev=I/S0
    -1.42000     5.00000     0.00000     0.00000
    -1.41900     5.00000     0.00000     0.00000
    -1.41800     5.00000     0.00000     0.00000
    -1.41700     5.00000     0.00000     0.00000
    -1.41600     5.00000     0.00000     0.00000
    -1.41500     5.00000     0.00000     0.00000
    -1.41400     5.00000     0.00000     0.00000
    -1.41300     5.00000     0.00000     0.00000
    -1.41200     5.00000     0.00000     0.00000
    -1.41100     5.00000     0.00000     0.00000
    -1.41000     5.00000     0.00000     0.00000
    -1.40900     5.00000     0.00000     0.00000
    -1.40800     5.00000     0.00000     0.00000
    -1.40700     5.00000     0.00000     0.00000
    -1.40600     5.00000     0.00000     0.00000
    -1.40500     5.00000     0.00000     0.00000
    -1.40400     5.00000     0.00000     0.00000
    -1.40300     5.00000     0.00000     0.00000
    -1.40200     5.00000     0.00000     0.00000
    -1.40100     5.00000     0.00000     0.00000
    -1.40000     5.00000     0.00000     0.00000
    -1.39900     5.00000     0.00000     0.00000
    -1.39800     5.00000     0.00000     0.00000
    -1.39700     5.00000     0.00000     0.00000
    -1.39600     5.00000     0.00000     0.00000
    -1.39500     5.00000     0.00000     0.00000
    -1.39400     5.00000     0.00000     0.00000
    -1.39300     5.00000     0.00000     0.00000
    -1.39200     5.00000     0.00000     0.00000
    -1.39100     5.00000     0.00000     0.00000
    -1.39000     5.00000     0.00000     0.00000
    -1.38900     5.00000     0.00000     0.00000
    -1.38800     5.00000     0.00000     0.00000
    -1.38700     5.00000     0.00000     0.00000
    -1.38600     5.00000     0.00000     0.00000
    -1.38500     5.00000     0.00000     0.00000
    -1.38400     5.00000     0.00000     0.00000
    -1.38300     5.00000     0.00000     0.00000
    -1.38200     5.00000     0.00000     0.00000
    -1.38100     5.00000     0.00000     0.00000
    -1.38000     5.00000     0.00000     0.00000
    -1.37900     5.00000     0.00000     0.00000
    -1.37800     5.00000     0.00000     0.00000
    -1.37700     5.00000     0.00000     0.00000
    -1.37600     5.00000     0.00000     0.00000
    -1.37500     5.00000     0.00000     0.00000
    -1.37400     5.00000     0.00000     0.00000
    -1.37300     5.00000     0.00000     0.00000
    -1.37200     5.00000     0.00000     0.00000
    -1.37100     5.00000     0.00000     0.00000
    -1.37000     5.00000     0.00000     0.00000
    -1.36900     5.00000     0.00000     0.00000
    -1.36800     5.00000     0.00000     0.00000
